"text","emotion"
"Why did I do that?","embarrassment"
"This is so humiliating.","embarrassment"
"That was a total fail.","embarrassment"
"I feel like such an idiot.","embarrassment"
"I’ll never live this down.","embarrassment"
"I tripped in front of everyone!","embarrassment"
"I’m cringing so much.","embarrassment"
"They’re all laughing at me.","embarrassment"
"Ugh, how embarrassing!","embarrassment"
"I made such a fool of myself.","embarrassment"
"I shouldn’t have said that.","embarrassment"
"That didn’t go as planned…","embarrassment"
"I completely froze.","embarrassment"
"I looked so dumb up there.","embarrassment"
"I’m still thinking about it days later.","embarrassment"
"I can’t face them again.","embarrassment"
"It was the most awkward moment ever.","embarrassment"
"I feel sick.","disgust"
"That's disgusting.","disgust"
"That's disgusting.","disgust"
"Gross!","disgust"
"Yuck, that's awful.","disgust"
"That made me want to throw up.","disgust"
"I can’t even look at it.","disgust"
"This smells horrible.","disgust"
"I’m nauseated just thinking about it.","disgust"
"That’s revolting!","disgust"
"Ugh, how vile!","disgust"
"This is beyond nasty.","disgust"
"I want to gag.","disgust"
"That’s just wrong.","disgust"
"I can’t stand the sight of it.","disgust"
"It turned my stomach.","disgust"
"Why would anyone do that?","disgust"
"I’m horrified and disgusted.","disgust"
"Absolutely repulsive.","disgust"
"I wish I hadn’t seen that.","disgust"
"That’s so unhygienic.","disgust"
"What a filthy mess.","disgust"
"I feel dirty just being near it.","disgust"
"Ew, that’s revolting.","disgust"
"This is making me physically ill.","disgust"
"That’s just nasty.","disgust"
"It's an average day.","neutral"
"Nothing special today.","neutral"
"I'm just okay.","neutral"
"Meh.","neutral"
"I don't feel much right now.","neutral"
"It was a normal day.","neutral"
"Not bad, not great.","neutral"
"Just another day.","neutral"
"I'm neither happy nor sad.","neutral"
"I guess I’m fine.","neutral"
"Same old, same old.","neutral"
"Nothing to report.","neutral"
"I'm feeling kind of blank.","neutral"
"Just here, existing.","neutral"
"I’m going through the motions.","neutral"
"It’s whatever.","neutral"
"Can’t complain.","neutral"
"Everything is just… okay.","neutral"
"No strong feelings today.","neutral"
"Today was uneventful.","neutral"
"I feel neutral about it.","neutral"
"It’s all pretty standard.","neutral"
"No highs, no lows.","neutral"
"I’m feeling indifferent.","neutral"
"Just doing my thing.","neutral"
